checkpoint,split,epoch,overall_mae,overall_rmse,mae_0h,rmse_0h,mae_1h,rmse_1h,mae_3h,rmse_3h,mae_6h,rmse_6h
best_model_10k_ep33,test,33,20.041,47.935,11.274,24.06,19.453,47.335,21.645,51.027,22.607,52.493
best_model_14k_latest,test,41,20.072,48.22,11.086,23.895,19.23,47.467,21.764,51.434,22.869,52.855
